timestamp,elapsed_time_s,abs_fz_N
2025-09-08 23:52:16.717,2.474,1.716946
2025-09-08 23:52:16.724,2.481,1.709231
2025-09-08 23:52:16.731,2.488,1.702938
2025-09-08 23:52:16.738,2.495,1.698470
2025-09-08 23:52:16.745,2.502,1.706185
2025-09-08 23:52:16.752,2.509,1.705902
2025-09-08 23:52:16.759,2.516,1.698666
2025-09-08 23:52:16.766,2.523,1.680436
2025-09-08 23:52:16.773,2.530,1.687407
2025-09-08 23:52:16.780,2.537,1.687140
2025-09-08 23:52:16.787,2.544,1.672396
2025-09-08 23:52:16.794,2.551,1.665102
2025-09-08 23:52:16.801,2.558,1.680349
2025-09-08 23:52:16.808,2.565,1.668392
2025-09-08 23:52:16.815,2.572,1.665844
2025-09-08 23:52:16.822,2.579,1.673780
2025-09-08 23:52:16.829,2.586,1.677125
2025-09-08 23:52:16.836,2.593,1.676908
2025-09-08 23:52:16.843,2.600,1.665608
2025-09-08 23:52:16.850,2.607,1.676853
2025-09-08 23:52:16.857,2.614,1.687687
2025-09-08 23:52:16.864,2.621,1.691324
2025-09-08 23:52:16.871,2.628,1.684151
2025-09-08 23:52:16.878,2.635,1.695169
2025-09-08 23:52:16.885,2.642,1.695426
2025-09-08 23:52:16.892,2.649,1.699136
2025-09-08 23:52:16.899,2.656,1.702440
2025-09-08 23:52:16.906,2.663,1.702387
2025-09-08 23:52:16.913,2.670,1.706717
2025-09-08 23:52:16.920,2.677,1.706141
2025-09-08 23:52:16.928,2.685,1.702464
2025-09-08 23:52:16.935,2.692,1.702250
2025-09-08 23:52:16.942,2.699,1.706008
2025-09-08 23:52:16.949,2.706,1.709771
2025-09-08 23:52:16.956,2.713,1.684107
2025-09-08 23:52:16.963,2.720,1.691412
2025-09-08 23:52:16.970,2.727,1.694477
2025-09-08 23:52:16.977,2.734,1.687234
2025-09-08 23:52:16.984,2.741,1.680208
2025-09-08 23:52:16.991,2.747,1.684151
2025-09-08 23:52:16.998,2.754,1.687407
2025-09-08 23:52:17.005,2.761,1.683889
2025-09-08 23:52:17.012,2.768,1.676399
2025-09-08 23:52:17.019,2.775,1.687687
2025-09-08 23:52:17.026,2.782,1.680164
2025-09-08 23:52:17.033,2.789,1.684147
2025-09-08 23:52:17.040,2.796,1.676574
2025-09-08 23:52:17.047,2.803,1.684386
2025-09-08 23:52:17.054,2.810,1.691129
2025-09-08 23:52:17.061,2.817,1.661084
2025-09-08 23:52:17.068,2.824,1.661518
2025-09-08 23:52:17.075,2.831,1.672815
2025-09-08 23:52:17.081,2.838,1.676530
2025-09-08 23:52:17.088,2.845,1.665888
2025-09-08 23:52:17.095,2.852,1.654580
2025-09-08 23:52:17.102,2.859,1.658120
2025-09-08 23:52:17.109,2.866,1.658355
2025-09-08 23:52:17.116,2.873,1.658594
2025-09-08 23:52:17.123,2.880,1.644263
2025-09-08 23:52:17.130,2.887,1.648007
2025-09-08 23:52:17.137,2.894,1.647513
2025-09-08 23:52:17.144,2.901,1.625280
2025-09-08 23:52:17.151,2.908,1.636492
2025-09-08 23:52:17.159,2.916,1.628733
2025-09-08 23:52:17.166,2.923,1.625019
2025-09-08 23:52:17.173,2.930,1.625708
2025-09-08 23:52:17.180,2.937,1.610869
2025-09-08 23:52:17.187,2.944,1.602786
2025-09-08 23:52:17.194,2.951,1.607189
2025-09-08 23:52:17.201,2.958,1.606920
2025-09-08 23:52:17.208,2.965,1.588187
2025-09-08 23:52:17.215,2.972,1.570368
2025-09-08 23:52:17.222,2.979,1.570283
2025-09-08 23:52:17.229,2.986,1.570099
2025-09-08 23:52:17.236,2.993,1.581850
2025-09-08 23:52:17.243,3.000,1.581151
2025-09-08 23:52:17.250,3.007,1.548285
2025-09-08 23:52:17.288,3.045,1.551826
2025-09-08 23:52:17.295,3.052,1.541122
2025-09-08 23:52:17.302,3.059,1.544155
2025-09-08 23:52:17.309,3.066,1.526012
2025-09-08 23:52:17.316,3.073,1.521784
2025-09-08 23:52:17.323,3.080,1.522571
2025-09-08 23:52:17.330,3.087,1.511001
2025-09-08 23:52:17.337,3.094,1.508012
2025-09-08 23:52:17.344,3.101,1.511004
2025-09-08 23:52:17.351,3.108,1.496489
2025-09-08 23:52:17.358,3.115,1.481734
2025-09-08 23:52:17.365,3.121,1.492213
2025-09-08 23:52:17.372,3.128,1.492290
2025-09-08 23:52:17.379,3.135,1.488739
2025-09-08 23:52:17.386,3.142,1.499833
2025-09-08 23:52:17.393,3.149,1.492311
2025-09-08 23:52:17.400,3.156,1.481746
2025-09-08 23:52:17.407,3.163,1.492721
