diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,avg_offset,ideal_rnp_angle,k_rod,k_rod_avg,c_rod,predicted_angle,error
2,cw,20,0.939692621,58.6875,1.4906625,84.33,-1.216,160.5157938,0.525368863,0.534,-0.431,85.28443387,0.954433871
2,cw,20,0.939692621,58.6875,1.4906625,84,-1.216,160.5157938,0.52331299,0.534,-0.431,85.28443387,1.284433871
2,cw,20,0.939692621,58.6875,1.4906625,83.99,-1.216,160.5157938,0.523250691,0.534,-0.431,85.28443387,1.294433871
2,cw,20,0.939692621,88,2.2352,131.15,-1.216,240.688219,0.544895802,0.534,-0.431,128.0965089,-3.053491065
2,cw,20,0.939692621,88,2.2352,131.11,-1.216,240.688219,0.544729611,0.534,-0.431,128.0965089,-3.013491065
2,cw,20,0.939692621,88,2.2352,131.1,-1.216,240.688219,0.544688064,0.534,-0.431,128.0965089,-3.003491065
2,cw,20,0.939692621,88,2.2352,129.78,-1.216,240.688219,0.53920379,0.534,-0.431,128.0965089,-1.683491065
2,cw,20,0.939692621,88,2.2352,125.66,-1.216,240.688219,0.52208621,0.534,-0.431,128.0965089,2.436508935
2,ccw,30,0.866025404,6.5625,0.1666875,12.3,-1.216,16.54193435,0.743564794,0.534,-0.431,8.402392941,-3.897607059
2,ccw,30,0.866025404,6.5625,0.1666875,7.58,-1.216,16.54193435,0.458229361,0.534,-0.431,8.402392941,0.822392941
2,ccw,30,0.866025404,29.375,0.746125,51.98,-1.216,74.04484898,0.702006969,0.534,-0.431,39.10894935,-12.87105065
2,ccw,30,0.866025404,29.375,0.746125,49.93,-1.216,74.04484898,0.674321046,0.534,-0.431,39.10894935,-10.82105065
2,ccw,30,0.866025404,29.375,0.746125,36.21,-1.216,74.04484898,0.48902794,0.534,-0.431,39.10894935,2.898949354
2,ccw,30,0.866025404,58.8125,1.4938375,98.85,-1.216,148.2472402,0.666791502,0.534,-0.431,78.73302626,-20.11697374
2,ccw,30,0.866025404,58.8125,1.4938375,95.47,-1.216,148.2472402,0.643991752,0.534,-0.431,78.73302626,-16.73697374
2,ccw,30,0.866025404,58.8125,1.4938375,84.41,-1.216,148.2472402,0.569386654,0.534,-0.431,78.73302626,-5.67697374
2,ccw,30,0.866025404,58.8125,1.4938375,83.2,-1.216,148.2472402,0.561224613,0.534,-0.431,78.73302626,-4.46697374
2,ccw,30,0.866025404,58.8125,1.4938375,82.6,-1.216,148.2472402,0.55717732,0.534,-0.431,78.73302626,-3.86697374
2,ccw,30,0.866025404,58.8125,1.4938375,82.19,-1.216,148.2472402,0.55441167,0.534,-0.431,78.73302626,-3.45697374
2,ccw,30,0.866025404,58.8125,1.4938375,81.08,-1.216,148.2472402,0.546924178,0.534,-0.431,78.73302626,-2.34697374
2,ccw,30,0.866025404,58.8125,1.4938375,80.09,-1.216,148.2472402,0.540246145,0.534,-0.431,78.73302626,-1.35697374
2,ccw,30,0.866025404,88.1875,2.2399625,126.55,-1.216,222.2920892,0.569296013,0.534,-0.431,118.2729756,-8.277024386
2,ccw,30,0.866025404,88.1875,2.2399625,124.1,-1.216,222.2920892,0.558274478,0.534,-0.431,118.2729756,-5.827024386
2,cw,30,0.866025404,6.5,0.1651,9.25,-1.216,16.38439211,0.564561684,0.534,-0.431,8.318265389,-0.931734611
2,cw,30,0.866025404,6.5,0.1651,9.06,-1.216,16.38439211,0.552965282,0.534,-0.431,8.318265389,-0.741734611
2,cw,30,0.866025404,6.5,0.1651,7.81,-1.216,16.38439211,0.476673162,0.534,-0.431,8.318265389,0.508265389
2,cw,30,0.866025404,6.5,0.1651,7.79,-1.216,16.38439211,0.475452488,0.534,-0.431,8.318265389,0.528265389
2,cw,30,0.866025404,6.5,0.1651,7.76,-1.216,16.38439211,0.473621477,0.534,-0.431,8.318265389,0.558265389
2,cw,30,0.866025404,6.5,0.1651,7.7,-1.216,16.38439211,0.469959456,0.534,-0.431,8.318265389,0.618265389
2,cw,30,0.866025404,6.5,0.1651,7.64,-1.216,16.38439211,0.466297434,0.534,-0.431,8.318265389,0.678265389
2,cw,30,0.866025404,6.5,0.1651,7.64,-1.216,16.38439211,0.466297434,0.534,-0.431,8.318265389,0.678265389
2,cw,30,0.866025404,6.5,0.1651,7.57,-1.216,16.38439211,0.462025075,0.534,-0.431,8.318265389,0.748265389
2,cw,30,0.866025404,6.5,0.1651,7.53,-1.216,16.38439211,0.459583727,0.534,-0.431,8.318265389,0.788265389
2,cw,30,0.866025404,6.5,0.1651,7.5,-1.216,16.38439211,0.457752717,0.534,-0.431,8.318265389,0.818265389
2,cw,30,0.866025404,6.5,0.1651,7.06,-1.216,16.38439211,0.430897891,0.534,-0.431,8.318265389,1.258265389
2,cw,30,0.866025404,6.5,0.1651,6.77,-1.216,16.38439211,0.413198119,0.534,-0.431,8.318265389,1.548265389
2,cw,30,0.866025404,6.5,0.1651,6.56,-1.216,16.38439211,0.400381043,0.534,-0.431,8.318265389,1.758265389
2,cw,30,0.866025404,29.3125,0.7445375,41.17,-1.216,73.88730675,0.557199901,0.534,-0.431,39.0248218,-2.145178198
2,cw,30,0.866025404,29.3125,0.7445375,40.79,-1.216,73.88730675,0.552056934,0.534,-0.431,39.0248218,-1.765178198
2,cw,30,0.866025404,29.3125,0.7445375,40.63,-1.216,73.88730675,0.549891474,0.534,-0.431,39.0248218,-1.605178198
2,cw,30,0.866025404,29.3125,0.7445375,39.92,-1.216,73.88730675,0.540282245,0.534,-0.431,39.0248218,-0.895178198
2,cw,30,0.866025404,29.3125,0.7445375,39.83,-1.216,73.88730675,0.539064174,0.534,-0.431,39.0248218,-0.805178198
2,cw,30,0.866025404,29.3125,0.7445375,39.47,-1.216,73.88730675,0.534191889,0.534,-0.431,39.0248218,-0.445178198
2,cw,30,0.866025404,29.3125,0.7445375,39.22,-1.216,73.88730675,0.530808358,0.534,-0.431,39.0248218,-0.195178198
2,cw,30,0.866025404,29.3125,0.7445375,38.68,-1.216,73.88730675,0.523499931,0.534,-0.431,39.0248218,0.344821802
2,cw,30,0.866025404,29.3125,0.7445375,38.64,-1.216,73.88730675,0.522958566,0.534,-0.431,39.0248218,0.384821802
2,cw,30,0.866025404,29.3125,0.7445375,38.06,-1.216,73.88730675,0.515108774,0.534,-0.431,39.0248218,0.964821802
2,cw,30,0.866025404,29.3125,0.7445375,37.61,-1.216,73.88730675,0.509018418,0.534,-0.431,39.0248218,1.414821802
2,cw,30,0.866025404,29.3125,0.7445375,37.44,-1.216,73.88730675,0.506717617,0.534,-0.431,39.0248218,1.584821802
2,cw,30,0.866025404,29.3125,0.7445375,36.95,-1.216,73.88730675,0.500085896,0.534,-0.431,39.0248218,2.074821802
