diameter,direction,tilt,steps,stepper_travel,measured_angle,predicted_angle,error
4,cw,10,57.4375,1.4589125,42.86,,
4,cw,10,57.4375,1.4589125,41.93,,
4,cw,10,57.4375,1.4589125,41.77,,
4,cw,10,114.875,2.917825,87.62,,
4,cw,10,114.875,2.917825,86.42,,
4,cw,10,114.875,2.917825,86.13,,
4,cw,10,114.875,2.917825,85.66,,
4,cw,10,114.875,2.917825,85.17,,
4,cw,10,172.375,4.378325,129.87,,
4,cw,10,172.375,4.378325,129.46,,
4,cw,10,172.375,4.378325,128.78,,
4,cw,10,172.375,4.378325,128.53,,
4,cw,10,172.375,4.378325,127.42,,
5,ccw,10,16.375,0.415925,10.1,,
5,ccw,10,16.375,0.415925,10.05,,
5,ccw,10,16.375,0.415925,9.37,,
5,ccw,10,16.375,0.415925,8.8,,
5,ccw,10,16.375,0.415925,8.75,,
5,ccw,10,73.75,1.87325,44.2,,
5,ccw,10,73.75,1.87325,44.13,,
5,ccw,10,73.75,1.87325,42.82,,
5,ccw,10,73.75,1.87325,42.56,,
5,ccw,10,73.75,1.87325,42.17,,
5,ccw,10,147.5,3.7465,90.21,,
5,ccw,10,147.5,3.7465,88.36,,
5,ccw,10,147.5,3.7465,88.3,,
5,ccw,10,147.5,3.7465,87.69,,
5,ccw,10,147.5,3.7465,86.54,,
5,ccw,10,221.25,5.61975,134,,
5,ccw,10,221.25,5.61975,131.7,,
5,ccw,10,221.25,5.61975,131.57,,
5,ccw,10,221.25,5.61975,129.62,,
5,ccw,10,221.25,5.61975,129.55,,
5,cw,10,16.4375,0.4175125,10.09,,
5,cw,10,16.4375,0.4175125,10,,
5,cw,10,16.4375,0.4175125,9.95,,
5,cw,10,16.4375,0.4175125,9.06,,
5,cw,10,16.4375,0.4175125,8.89,,
5,cw,10,73.9375,1.8780125,44.06,,
5,cw,10,73.9375,1.8780125,43.74,,
5,cw,10,73.9375,1.8780125,43.48,,
5,cw,10,73.9375,1.8780125,43.11,,
5,cw,10,73.9375,1.8780125,42.89,,
5,cw,10,147.875,3.756025,88.7,,
5,cw,10,147.875,3.756025,88.35,,
5,cw,10,147.875,3.756025,87.96,,
5,cw,10,147.875,3.756025,87.89,,
5,cw,10,147.875,3.756025,86.72,,
5,cw,10,221.875,5.635625,132.99,,
5,cw,10,221.875,5.635625,132.64,,
5,cw,10,221.875,5.635625,132.18,,
5,cw,10,221.875,5.635625,132.03,,
5,cw,10,221.875,5.635625,130.63,,
2,ccw,20,6.5625,0.1666875,12.69,,
2,ccw,20,6.5625,0.1666875,6.76,,
2,ccw,20,29.375,0.746125,42.42,,
2,ccw,20,29.375,0.746125,41.28,,
2,ccw,20,58.8125,1.4938375,94.34,,
2,ccw,20,58.8125,1.4938375,86.56,,
2,ccw,20,58.8125,1.4938375,86.39,,
2,ccw,20,58.8125,1.4938375,84.59,,
2,ccw,20,58.8125,1.4938375,84.43,,
2,ccw,20,88.1875,2.2399625,131.64,,
2,ccw,20,88.1875,2.2399625,131.06,,
2,ccw,20,88.1875,2.2399625,130.57,,
2,ccw,20,88.1875,2.2399625,130.5,,
2,ccw,20,88.1875,2.2399625,127.41,,
2,cw,20,6.5,0.1651,8.34,,
2,cw,20,6.5,0.1651,8.28,,
2,cw,20,6.5,0.1651,8.21,,
2,cw,20,6.5,0.1651,8.1,,
2,cw,20,6.5,0.1651,7.55,,
2,cw,20,6.5,0.1651,7.12,,
2,cw,20,29.3125,0.7445375,42.51,,
2,cw,20,29.3125,0.7445375,42.25,,
2,cw,20,29.3125,0.7445375,42.06,,
2,cw,20,29.3125,0.7445375,40.83,,
2,cw,20,29.3125,0.7445375,40.63,,
2,cw,20,29.3125,0.7445375,40.48,,
2,cw,20,29.3125,0.7445375,40.09,,
2,cw,20,58.6875,1.4906625,88.68,,
2,cw,20,58.6875,1.4906625,88.64,,
2,cw,20,58.6875,1.4906625,87.67,,
2,cw,20,58.6875,1.4906625,87.23,,
2,cw,20,58.6875,1.4906625,85.97,,
2,cw,20,58.6875,1.4906625,84.64,,
2,cw,20,58.6875,1.4906625,84.33,,
2,cw,20,58.6875,1.4906625,84,,
2,cw,20,58.6875,1.4906625,83.99,,
2,cw,20,88,2.2352,131.15,,
2,cw,20,88,2.2352,131.11,,
2,cw,20,88,2.2352,131.1,,
2,cw,20,88,2.2352,129.78,,
2,cw,20,88,2.2352,125.66,,
3,ccw,20,9.9375,0.2524125,10.63,,
3,ccw,20,9.9375,0.2524125,7.62,,
3,ccw,20,9.9375,0.2524125,7.59,,
3,ccw,20,9.9375,0.2524125,7.57,,
3,ccw,20,9.9375,0.2524125,7.57,,
3,ccw,20,9.9375,0.2524125,7.53,,
3,ccw,20,44.75,1.13665,44.4,,
3,ccw,20,44.75,1.13665,44.31,,
3,ccw,20,44.75,1.13665,43.75,,
3,ccw,20,44.75,1.13665,43.41,,
3,ccw,20,44.75,1.13665,43.33,,
3,ccw,20,44.75,1.13665,42.75,,
3,ccw,20,44.75,1.13665,42.54,,
3,ccw,20,44.75,1.13665,42.41,,
3,ccw,20,89.5,2.2733,90.23,,
3,ccw,20,89.5,2.2733,88.95,,
